restaurant_id,name,grid,address,rating,user_ratings_total,phone_number,reviews_count,file_path
ChIJp4jIhmpZwokRabZfKVJPoBY,21 Greenpoint,BK1,"21 Greenpoint Ave, Brooklyn, NY 11222, USA",4.4,338,(718) 383-8833,73,E:\gitrepo\Crawler\reviews\BK1\BK1_21 Greenpoint_reviews.json
ChIJi7zDhGVZwokRwoHkVROLwlk,ACRE,BK1,"64 Meserole Ave, Brooklyn, NY 11222, USA",4.7,523,(718) 954-9074,78,E:\gitrepo\Crawler\reviews\BK1\BK1_ACRE_reviews.json
ChIJAXRH6kVZwokRgV_sanKaFCg,Amber Steak House,BK1,"119 Nassau Ave, Brooklyn, NY 11222, USA",4.6,1072,(718) 389-3757,83,E:\gitrepo\Crawler\reviews\BK1\BK1_Amber Steak House_reviews.json
ChIJRdQCQTxZwokRhnuh3R7NGts,Ashbox,BK1,"1154 Manhattan Ave, Brooklyn, NY 11222, USA",4.7,196,(718) 389-3222,69,E:\gitrepo\Crawler\reviews\BK1\BK1_Ashbox_reviews.json
ChIJ5T7dN_ZZwokRKJxbtcuO9lw,Bernie’s,BK1,"332 Driggs Ave, Brooklyn, NY 11222, USA",4.6,581,(347) 529-6400,73,E:\gitrepo\Crawler\reviews\BK1\BK1_Bernie’s_reviews.json
ChIJayMXxXBZwokRq41Uj462dS0,Breeze,BK1,"595 Manhattan Ave, Brooklyn, NY 11222, USA",4.8,439,(212) 718-0797,79,E:\gitrepo\Crawler\reviews\BK1\BK1_Breeze_reviews.json
ChIJc9vNBkVZwokRJofDtCO1718,Charlotte Patisserie,BK1,"596 Manhattan Ave, Brooklyn, NY 11222, USA",4.6,439,(718) 383-8313,70,E:\gitrepo\Crawler\reviews\BK1\BK1_Charlotte Patisserie_reviews.json
ChIJe94ViUFZwokRTJ3cQOMhFdI,Chez Ma Tante,BK1,"90 Calyer St, Brooklyn, NY 11222, USA",4.4,929,(718) 389-3606,75,E:\gitrepo\Crawler\reviews\BK1\BK1_Chez Ma Tante_reviews.json
ChIJyaPHBE9ZwokRve8gtGX8BNo,Dar525,BK1,"168 Driggs Ave, Brooklyn, NY 11222, USA",4.7,518,(718) 389-0003,74,E:\gitrepo\Crawler\reviews\BK1\BK1_Dar525_reviews.json
ChIJ2fdTNEBZwokRcAtK9PyqDAs,Di An Di,BK1,"68 Greenpoint Ave, Brooklyn, NY 11222, USA",4.3,978,(718) 576-3914,85,E:\gitrepo\Crawler\reviews\BK1\BK1_Di An Di_reviews.json
ChIJ1XgwOD5ZwokRn-AHoZDr_d0,Eagle Trading Company,BK1,"258 Franklin St, Brooklyn, NY 11222, USA",4.6,472,,74,E:\gitrepo\Crawler\reviews\BK1\BK1_Eagle Trading Company_reviews.json
ChIJmyZIT0RZwokRRbbmt850gmY,El Born,BK1,"651 Manhattan Ave, Brooklyn, NY 11222, USA",4.4,776,(347) 844-9295,77,E:\gitrepo\Crawler\reviews\BK1\BK1_El Born_reviews.json
ChIJeUVN0a1ZwokRmL33czrgxWM,El Pingüino,BK1,"25 Greenpoint Ave, Brooklyn, NY 11222, USA",4.7,208,(347) 463-9509,69,E:\gitrepo\Crawler\reviews\BK1\BK1_El Pingüino_reviews.json
ChIJ1dUY9kRZwokR7lu8aF4zj-Y,Five Leaves,BK1,"18 Bedford Ave, Brooklyn, NY 11222, USA",4.3,2530,(718) 383-5345,100,E:\gitrepo\Crawler\reviews\BK1\BK1_Five Leaves_reviews.json
ChIJQ1ZCUkRZwokRYKlkqQijGHg,Forma Pasta Factory,BK1,"14 Bedford Ave, Brooklyn, NY 11222, USA",4.6,1837,(718) 349-2009,82,E:\gitrepo\Crawler\reviews\BK1\BK1_Forma Pasta Factory_reviews.json
ChIJLdFlUkRZwokR6UTdWztXjSI,Frankel's Delicatessen & Appetizing,BK1,"631 Manhattan Ave, Brooklyn, NY 11222, USA",4.6,1194,(718) 389-2302,80,E:\gitrepo\Crawler\reviews\BK1\BK1_Frankel's Delicatessen & Appetizing_reviews.json
ChIJl-SePCBZwokR4TtitxjHUbs,Frijoleros,BK1,"131 Greenpoint Ave, Brooklyn, NY 11222, USA",4.9,62,(347) 384-2957,47,E:\gitrepo\Crawler\reviews\BK1\BK1_Frijoleros_reviews.json
